UMAP1,UMAP2,숙박업명
3.921925,-13.045003,히든 클리프 호텔 앤 네이처
4.2275386,-12.896345,스위트 호텔 제주
3.9360247,-13.62738,제주 신라 호텔
4.196678,-13.823695,롯데호텔 제주
3.7574549,-12.453138,WE 호텔 제주
3.8119984,-13.534692,그랜드 조선 제주
5.98516,-10.922622,메이더호텔
5.920169,-13.330802,라마다프라자제주호텔
6.0731254,-11.376419,오션그랜드호텔
9.465381,-13.258696,엠버시티호텔(구.아이비호텔)
8.693469,-13.42623,엠버호텔
6.2963147,-13.58683,롯데시티호텔 제주
5.5454435,-11.859052,그라벨호텔
8.122161,-12.505077,아이진호텔
6.138395,-12.106174,아스타호텔
7.155059,-13.3153,신라스테이제주
6.4347067,-11.922447,베니키아호텔제주(구. 뉴베니키아호텔제주)
7.6332836,-13.103066,호텔더원
5.6486263,-11.283436,탐라스테이
8.770542,-13.211921,어반아일랜드호텔
6.852332,-13.212949,호텔 시리우스
4.083976,-13.747285,그랜드하얏트 제주
5.9643016,-11.755305,다인리조트
4.4066715,-11.965538,올레리조트
7.2519045,-13.364451,베스트웨스턴 제주호텔
3.9072978,-12.350276,에코그린리조트(구.에코패밀리호텔)
6.0138755,-11.661618,수앤수리조트(구.수앤수가족호텔)
8.828382,-9.874109,그린트리인 서귀포(그랜드밀리언스)
8.479963,-10.655242,더베스트제주성산
8.744388,-10.389848,골든데이지호텔서귀포오션
8.897,-9.968697,이스턴 호텔 제주
6.2434354,-12.421577,라마다제주시티
6.3891463,-12.66541,라마다제주함덕
5.8186097,-13.427109,라마다프라자제주
7.8680177,-12.942668,신신호텔 제주공항
6.8542905,-12.501748,제주 리젠트마린 더 블루
7.3711286,-13.176125,베스트웨스턴 제주
8.655803,-10.611589,브라운 스위트 제주
8.052262,-13.380414,제주 센트럴 시티
8.408564,-10.880805,골든튤립제주성산
8.965995,-10.910986,오션팰리스
6.5134754,-10.563369,코업시티성산
7.664077,-13.261246,글로스터 제주
8.131555,-12.9395895,호텔위드제주
6.7864847,-12.782732,휘슬락
9.084049,-10.267505,호텔 케니 서귀포
3.7838655,-12.164013,엠버리조트
5.72665,-10.511434,알리바호텔
9.146878,-12.957896,노형호텔
9.162039,-13.30707,호텔 위드스테이 제주
9.412779,-12.778455,위드시티호텔
8.68763,-12.774972,아시아호텔 제주
3.5310378,-13.378639,해비치 호텔 & 리조트
3.5343652,-13.140137,휘닉스 제주 섭지코지
6.008081,-10.445557,베니키아 중문 호텔
6.6290865,-11.139516,빠레브 호텔 제주
3.8823483,-12.130271,제주 골드원 호텔 스위트
3.5835886,-12.596084,호텔 토스카나
6.491156,-13.014319,오션 스위츠 제주 호텔
8.650712,-13.047118,호텔 앨리스 앤 트렁크
8.053622,-13.054761,호텔 레오 제주
8.717368,-9.860532,코델리아s 호텔 앤 리조트
8.876633,-10.658165,신신호텔 서귀포점
5.8142085,-10.227634,파밀리아 호텔
5.3047204,-10.1223955,돔베리조트
5.704521,-10.130217,제주 일레인 호텔
8.365063,-9.995168,제주 웨스턴그레이스 강정
5.7236204,-9.878666,중문 썬라이즈호텔
6.079757,-9.9547,중문 리조트
3.1984994,-12.318997,켄싱턴리조트 서귀포
3.2361693,-12.55404,금호 제주 리조트
4.504558,-11.501741,켄싱턴리조트 제주한림
3.6549056,-11.576214,켄싱턴리조트 제주중문
3.2335448,-12.755442,소노캄 제주
3.9245083,-11.3321085,썬 앤 문 리조트
3.8597925,-11.72534,와이리조트 제주
3.3396983,-12.149557,더 그랜드 섬오름
7.9563093,-13.508712,호텔 스카이파크 제주 1호점
3.7847164,-13.537471,파르나스 호텔 제주
5.618235,-11.599848,한림 리조트
8.232372,-10.284717,플레이스 캠프 제주
3.7906811,-11.476327,호텔 스카브로
7.82171,-11.150867,카사로마 호텔
9.316612,-13.0788355,어반스테이 제주연동
9.189307,-12.996063,벤티모 호텔 앤 레지던스 제주
8.09926,-10.946,파크 선샤인 제주
8.942324,-10.999013,제주 노블피아 호텔
4.793305,-10.524042,호텔 화인
8.624754,-10.056272,"헤이, 서귀포"
8.899225,-10.432432,신신호텔 천지연
9.122193,-10.107333,신신호텔 제주월드컵
7.8408084,-9.944995,호텔 케니 모슬포
6.1167264,-10.129185,담모라 리조트
6.2827606,-10.237402,산방산 호텔
7.655023,-10.989474,블룸 호텔
4.302155,-11.161602,르메인 호텔 협재
