UMAP1,UMAP2,UMAP3,숙박업명
12.724631,5.073512,8.6043,히든 클리프 호텔 앤 네이처
12.354314,5.1023145,8.843816,스위트 호텔 제주
13.096648,4.8183556,8.481945,제주 신라 호텔
13.153737,4.874141,8.658805,롯데호텔 제주
12.151859,5.211282,8.362758,WE 호텔 제주
12.976385,4.9552693,8.435732,그랜드 조선 제주
10.863706,5.991719,10.737954,메이더호텔
12.892075,5.470575,10.082688,라마다프라자제주호텔
11.181158,5.891965,10.68989,오션그랜드호텔
13.377002,5.941956,13.107064,엠버시티호텔(구.아이비호텔)
12.9503975,5.9212937,12.731452,엠버호텔
13.195396,5.458849,10.374161,롯데시티호텔 제주
11.611468,5.925192,10.024059,그라벨호텔
12.644842,6.0480685,12.031427,아이진호텔
11.721562,5.62008,10.636838,아스타호텔
13.353162,5.724217,11.142491,신라스테이제주
11.719599,6.1498656,10.677604,베니키아호텔제주(구. 뉴베니키아호텔제주)
13.147498,5.8591814,11.553167,호텔더원
10.994903,5.956374,10.058138,탐라스테이
12.987945,6.0286303,12.671317,어반아일랜드호텔
13.022959,5.733621,10.846815,호텔 시리우스
13.0817,4.909991,8.799045,그랜드하얏트 제주
11.4867115,6.0732093,10.512568,다인리조트
11.599473,5.6580873,9.041069,올레리조트
13.564576,5.8741426,11.15757,베스트웨스턴 제주호텔
12.098199,5.4192095,8.372675,에코그린리조트(구.에코패밀리호텔)
11.298666,6.2018604,10.831868,수앤수리조트(구.수앤수가족호텔)
9.267805,5.300192,13.232734,그린트리인 서귀포(그랜드밀리언스)
9.662671,5.1516876,13.04138,더베스트제주성산
9.561788,5.589307,13.00153,골든데이지호텔서귀포오션
9.192279,5.401709,13.31142,이스턴 호텔 제주
12.173779,5.6979394,10.57164,라마다제주시티
12.244375,5.6700144,10.5462,라마다제주함덕
12.953118,5.4121127,10.048328,라마다프라자제주
13.1377125,5.9705215,11.839621,신신호텔 제주공항
12.317149,6.116493,10.817768,제주 리젠트마린 더 블루
13.335743,5.9627643,11.428942,베스트웨스턴 제주
9.467851,5.6891375,12.631301,브라운 스위트 제주
13.433574,5.962689,11.824883,제주 센트럴 시티
9.8960285,5.3686786,12.760089,골든튤립제주성산
9.785349,5.7618513,12.772146,오션팰리스
10.490318,5.2518263,11.022389,코업시티성산
13.415904,5.723039,11.509286,글로스터 제주
13.612868,5.601049,11.906696,호텔위드제주
12.616711,5.8979826,10.783069,휘슬락
9.561818,5.6664023,13.331691,호텔 케니 서귀포
11.856287,5.5579753,8.489899,엠버리조트
10.648709,5.9235654,10.669247,알리바호텔
13.283955,5.7769575,12.941906,노형호텔
13.207295,5.8915725,13.063315,호텔 위드스테이 제주
13.439177,5.6704307,12.67376,위드시티호텔
13.548589,5.661301,12.368495,아시아호텔 제주
12.902409,4.8428826,8.1518135,해비치 호텔 & 리조트
12.783841,4.9006495,8.228903,휘닉스 제주 섭지코지
10.385346,5.583657,10.854837,베니키아 중문 호텔
11.351732,5.14452,10.592146,빠레브 호텔 제주
11.764571,5.221012,8.6318865,제주 골드원 호텔 스위트
12.125289,5.0985937,8.490739,호텔 토스카나
12.828868,5.7803326,10.715298,오션 스위츠 제주 호텔
13.173457,6.171021,12.477504,호텔 앨리스 앤 트렁크
13.020079,6.0056515,12.200542,호텔 레오 제주
9.226449,5.14788,12.701254,코델리아s 호텔 앤 리조트
9.89124,5.7696586,13.066524,신신호텔 서귀포점
10.173222,5.6169934,10.484446,파밀리아 호텔
10.154162,5.6346364,9.919159,돔베리조트
10.041864,5.7773733,10.309109,제주 일레인 호텔
9.218127,5.421756,12.422466,제주 웨스턴그레이스 강정
9.791685,5.573924,10.248185,중문 썬라이즈호텔
9.927913,5.5253835,10.713037,중문 리조트
12.094247,4.879724,7.9385624,켄싱턴리조트 서귀포
12.190264,4.949759,7.9862475,금호 제주 리조트
11.158857,5.7096095,9.026402,켄싱턴리조트 제주한림
11.32527,5.496879,8.479694,켄싱턴리조트 제주중문
12.373986,5.0486217,7.948892,소노캄 제주
11.047034,5.4240017,8.59039,썬 앤 문 리조트
11.257726,5.3434706,8.346068,와이리조트 제주
11.848297,5.0228786,8.104215,더 그랜드 섬오름
13.488727,6.0044475,11.861503,호텔 스카이파크 제주 1호점
13.209153,5.110467,8.491984,파르나스 호텔 제주
11.325168,6.162141,10.214907,한림 리조트
9.563025,5.4870033,12.39157,플레이스 캠프 제주
11.21756,5.3091426,8.248496,호텔 스카브로
10.556754,5.5290866,12.207731,카사로마 호텔
13.450244,6.028961,12.995852,어반스테이 제주연동
13.62795,6.1723614,12.838749,벤티모 호텔 앤 레지던스 제주
10.245885,5.586461,12.243776,파크 선샤인 제주
9.795477,5.993828,12.754077,제주 노블피아 호텔
10.324318,5.5906715,9.5116005,호텔 화인
9.136732,5.4885445,12.879609,"헤이, 서귀포"
9.582873,5.8551702,13.036989,신신호텔 천지연
9.239233,5.4922853,13.241441,신신호텔 제주월드컵
9.368934,5.3485155,12.00061,호텔 케니 모슬포
9.776116,5.640096,10.7863865,담모라 리조트
10.237134,5.330167,10.729421,산방산 호텔
10.408122,5.5318456,11.977784,블룸 호텔
10.814382,5.61112,8.891183,르메인 호텔 협재
