숙박업명,시도명,구군명,주변숙박업목록내용,1분기평균가격,2분기평균가격,객실수,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,주변숙박업소수,구군명_서귀포시,구군명_제주시,1분기평균가격_log,2분기평균가격_log,객실수_log,주변숙박업소수_log,1분기평균가격_robust,2분기평균가격_robust,객실수_robust,주변숙박업소수_robust,1분기평균가격_standard,2분기평균가격_standard,객실수_standard,주변숙박업소수_standard,UMAP1,UMAP2,UMAP3,kmeans_cluster
히든 클리프 호텔 앤 네이처,제주,서귀포시,"스위트 호텔 제주, 제주 신라 호텔, 그랜드 조선 제주, 블룸 호텔",263604,297748,250,1,1,1,1,1,1,1,1,1,1,0,4,1.0,0.0,12.482207049564131,12.604006128689656,5.5254529391317835,1.6094379124341003,1.0729529875808874,1.105979037192822,0.406974865779739,0.0,1.2909958890167237,1.3102209817240913,0.6976856386284203,0.13744393636666102,12.724631,5.073512,8.6043,4
스위트 호텔 제주,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 제주 신라 호텔, 그랜드 조선 제주, 파르나스 호텔 제주, 블룸 호텔",209336,250179,90,1,1,1,1,1,1,1,1,1,1,1,5,1.0,0.0,12.25170067255239,12.429935937768732,4.51085950651685,1.791759469228055,0.8077295969857007,0.9036285947193212,-0.30029918011965184,0.07473239997536842,0.9033344391686657,1.022593815241436,-0.3399152862896778,0.2957923839207132,12.354314,5.1023145,8.843816,4
제주 신라 호텔,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 스위트 호텔 제주, 그랜드 조선 제주, 파르나스 호텔 제주, 블룸 호텔",470924,521480,429,1,1,1,1,1,1,1,1,1,1,1,5,1.0,0.0,13.06245412465042,13.16442811939396,6.063785208687608,1.791759469228055,1.740592202740157,1.7574497869572765,0.782246802387527,0.07473239997536842,2.2668449102634907,2.2362416195372252,1.2482254340268166,0.2957923839207132,13.096648,4.8183556,8.481945,4
롯데호텔 제주,제주,제주시,"엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",453097,474860,500,1,1,1,1,1,1,1,1,1,1,1,22,0.0,1.0,13.023863716608851,13.070777408612855,6.2166061010848646,3.1354942159291497,1.696189618317447,1.648584146813737,0.8887783916815658,0.6255203831251276,2.2019442609818394,2.0814966374208295,1.4045117790798536,1.4628420450039665,13.153737,4.874141,8.658805,4
WE 호텔 제주,제주,서귀포시,없음,257843,299299,103,1,1,1,1,1,1,1,1,1,1,0,0,1.0,0.0,12.460110029865728,12.60920169384079,4.6443908991413725,0.0,1.0475278927855245,1.1120186979852282,-0.20721431944524799,-0.6596979530153685,1.2538335215167224,1.3188059420483746,-0.20335586057398736,-1.260372094551657,12.151859,5.211282,8.362758,0
그랜드 조선 제주,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 스위트 호텔 제주, 제주 신라 호텔, 파르나스 호텔 제주, 블룸 호텔",464753,530672,248,1,1,1,1,1,1,1,1,1,1,1,5,1.0,0.0,13.04926351232449,13.181901291320505,5.517452896464707,1.791759469228055,1.725414926647133,1.7777617315357603,0.40139802843522004,0.07473239997536842,2.2446611773666203,2.2651136446904547,0.689504182486576,0.2957923839207132,12.976385,4.9552693,8.435732,4
메이더호텔,제주,제주시,없음,50694,62194,53,1,1,1,1,0,1,0,0,1,1,0,0,0.0,1.0,10.83358256538668,11.038029889644065,3.9889840465642745,0.0,-0.8239740353513788,-0.7144129736243165,-0.6640990591164544,-0.6596979530153685,-1.4816309080227528,-1.2773404268829853,-0.8736250881984426,-1.260372094551657,10.863706,5.991719,10.737954,3
라마다프라자제주호텔,제주,제주시,"라마다프라자제주, 제주 리젠트마린 더 블루, 휘슬락, 오션 스위츠 제주 호텔",194209,243414,400,1,1,1,1,1,1,0,1,1,1,0,4,0.0,1.0,12.176695326819496,12.402523084588221,5.993961427306569,1.6094379124341003,0.7214275503094429,0.8717621221131218,0.7335725780432181,0.0,0.7771918072375438,0.9772978272046486,1.1768182892402397,0.13744393636666102,12.892075,5.470575,10.082688,5
오션그랜드호텔,제주,제주시,라마다제주함덕,93748,96703,74,1,1,1,1,0,0,0,0,1,1,0,1,0.0,1.0,11.448376277109102,11.479410045632411,4.31748811353631,0.6931471805599453,-0.11658504744795488,-0.20132414784232103,-0.4350985618996579,-0.3755815092426466,-0.4476819790018282,-0.5480201283473664,-0.537671677923506,-0.6583654975359442,11.181158,5.891965,10.68989,3
엠버시티호텔(구.아이비호텔),제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 어반스테이 제주연동",100432,78848,50,0,0,1,1,0,0,0,0,0,0,0,16,0.0,1.0,11.517246117493563,11.275289910002583,3.9318256327243257,2.833213344056216,-0.03734258650907204,-0.4386065885860678,-0.7039442437137761,0.5016174534938236,-0.3318579288373293,-0.8853007156935004,-0.9320796584338594,1.2003075009376363,13.377002,5.941956,13.107064,1
엠버호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",96904,100881,67,0,1,0,1,0,0,0,0,0,1,0,23,0.0,1.0,11.481486396134848,11.521706795977567,4.219507705176107,3.1780538303479458,-0.0784881490243102,-0.15215567102125863,-0.5034007976643716,0.6429652875208123,-0.391997980526121,-0.47813053732182503,-0.6378739452261609,1.4998055779521389,12.9503975,5.9212937,12.731452,1
롯데시티호텔 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",159906,184097,255,1,1,1,1,1,1,1,1,1,1,0,23,0.0,1.0,11.982347675224695,12.123223503501105,5.545177444479562,3.1780538303479458,0.4978088210646558,0.5470862340897931,0.42072483719906156,0.6429652875208123,0.45034144687650046,0.5157934956308768,0.7178574279723148,1.4998055779521389,13.195396,5.458849,10.374161,5
그라벨호텔,제주,제주시,없음,137810,157521,139,1,1,1,1,0,1,0,0,1,1,0,0,0.0,1.0,11.833638460210326,11.96732041003281,4.941642422609304,0.0,0.326702222062188,0.3658544000842333,0.0,-0.6596979530153685,0.2002449825374661,0.2581849712595969,0.1006363059125628,-1.260372094551657,11.611468,5.925192,10.024059,3
아이진호텔,제주,제주시,"신라스테이제주, 호텔더원, 어반아일랜드호텔, 제주 센트럴 시티, 글로스터 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",115171,108323,75,1,1,1,1,0,0,0,0,1,1,0,9,0.0,1.0,11.654181942145584,11.592882015086156,4.330733340286331,2.302585092994046,0.12021740891919745,-0.06941699529754411,-0.4258653017471673,0.284116443772722,-0.10156173916602201,-0.36052322909932993,-0.5241260949492985,0.739450533382374,12.644842,6.0480685,12.031427,1
