숙박업명,시도명,구군명,주변숙박업목록내용,1Q Average Price,2Q Average Price,Number of rooms,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,Number of Accommodations Nearby,구군명_서귀포시,구군명_제주시
히든 클리프 호텔 앤 네이처,제주,서귀포시,"스위트 호텔 제주, 제주 신라 호텔, 그랜드 조선 제주, 블룸 호텔",263604,297748,250,1,1,1,1,1,1,1,1,1,1,0,4,1,0
스위트 호텔 제주,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 제주 신라 호텔, 그랜드 조선 제주, 파르나스 호텔 제주, 블룸 호텔",209336,250179,90,1,1,1,1,1,1,1,1,1,1,1,5,1,0
제주 신라 호텔,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 스위트 호텔 제주, 그랜드 조선 제주, 파르나스 호텔 제주, 블룸 호텔",470924,521480,429,1,1,1,1,1,1,1,1,1,1,1,5,1,0
롯데호텔 제주,제주,제주시,"엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",453097,474860,500,1,1,1,1,1,1,1,1,1,1,1,22,0,1
WE 호텔 제주,제주,서귀포시,없음,257843,299299,103,1,1,1,1,1,1,1,1,1,1,0,0,1,0
그랜드 조선 제주,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 스위트 호텔 제주, 제주 신라 호텔, 파르나스 호텔 제주, 블룸 호텔",464753,530672,248,1,1,1,1,1,1,1,1,1,1,1,5,1,0
메이더호텔,제주,제주시,없음,50694,62194,53,1,1,1,1,0,1,0,0,1,1,0,0,0,1
라마다프라자제주호텔,제주,제주시,"라마다프라자제주, 제주 리젠트마린 더 블루, 휘슬락, 오션 스위츠 제주 호텔",194209,243414,400,1,1,1,1,1,1,0,1,1,1,0,4,0,1
오션그랜드호텔,제주,제주시,라마다제주함덕,93748,96703,74,1,1,1,1,0,0,0,0,1,1,0,1,0,1
엠버시티호텔(구.아이비호텔),제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 어반스테이 제주연동",100432,78848,50,0,0,1,1,0,0,0,0,0,0,0,16,0,1
엠버호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",96904,100881,67,0,1,0,1,0,0,0,0,0,1,0,23,0,1
롯데시티호텔 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",159906,184097,255,1,1,1,1,1,1,1,1,1,1,0,23,0,1
그라벨호텔,제주,제주시,없음,137810,157521,139,1,1,1,1,0,1,0,0,1,1,0,0,0,1
아이진호텔,제주,제주시,"신라스테이제주, 호텔더원, 어반아일랜드호텔, 제주 센트럴 시티, 글로스터 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",115171,108323,75,1,1,1,1,0,0,0,0,1,1,0,9,0,1
아스타호텔,제주,제주시,알리바호텔,96779,105350,130,1,1,1,1,1,0,0,1,1,1,0,1,0,1
신라스테이제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",130910,152108,301,1,1,1,1,1,0,0,0,1,1,0,23,0,1
베니키아호텔제주(구. 뉴베니키아호텔제주),제주,제주시,"올레리조트, 수앤수리조트(구.수앤수가족호텔)",96537,88096,188,1,1,1,1,0,1,0,0,1,1,0,2,0,1
호텔더원,제주,제주시,"엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 어반아일랜드호텔, 그랜드하얏트 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",80969,102705,180,1,1,1,1,1,0,0,0,1,1,0,17,0,1
탐라스테이,제주,제주시,없음,103197,133900,116,1,0,0,0,0,0,0,0,0,0,0,0,0,1
