숙박업명,시도명,구군명,주변숙박업목록내용,1분기평균가격,2분기평균가격,객실수,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,주변숙박업소수,구군명_서귀포시,구군명_제주시,1분기평균가격_log,2분기평균가격_log,객실수_log,주변숙박업소수_log,1분기평균가격_robust,2분기평균가격_robust,객실수_robust,주변숙박업소수_robust,1Q Average Price_standard,2Q Average Price_standard,Number of rooms_standard,Number of Accommodations Nearby_standard
히든 클리프 호텔 앤 네이처,제주,서귀포시,"스위트 호텔 제주, 제주 신라 호텔, 그랜드 조선 제주, 블룸 호텔",263604,297748,250,1,1,1,1,1,1,1,1,1,1,0,4,1,0,12.48220705,12.60400613,5.525452939,1.609437912,1.072952988,1.105979037,0.406974866,0,1.290995889,1.310220982,0.697685639,0.137443936
스위트 호텔 제주,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 제주 신라 호텔, 그랜드 조선 제주, 파르나스 호텔 제주, 블룸 호텔",209336,250179,90,1,1,1,1,1,1,1,1,1,1,1,5,1,0,12.25170067,12.42993594,4.510859507,1.791759469,0.807729597,0.903628595,-0.30029918,0.0747324,0.903334439,1.022593815,-0.339915286,0.295792384
제주 신라 호텔,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 스위트 호텔 제주, 그랜드 조선 제주, 파르나스 호텔 제주, 블룸 호텔",470924,521480,429,1,1,1,1,1,1,1,1,1,1,1,5,1,0,13.06245412,13.16442812,6.063785209,1.791759469,1.740592203,1.757449787,0.782246802,0.0747324,2.26684491,2.23624162,1.248225434,0.295792384
롯데호텔 제주,제주,제주시,"엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",453097,474860,500,1,1,1,1,1,1,1,1,1,1,1,22,0,1,13.02386372,13.07077741,6.216606101,3.135494216,1.696189618,1.648584147,0.888778392,0.625520383,2.201944261,2.081496637,1.404511779,1.462842045
WE 호텔 제주,제주,서귀포시,없음,257843,299299,103,1,1,1,1,1,1,1,1,1,1,0,0,1,0,12.46011003,12.60920169,4.644390899,0,1.047527893,1.112018698,-0.207214319,-0.659697953,1.253833522,1.318805942,-0.203355861,-1.260372095
그랜드 조선 제주,제주,서귀포시,"히든 클리프 호텔 앤 네이처, 스위트 호텔 제주, 제주 신라 호텔, 파르나스 호텔 제주, 블룸 호텔",464753,530672,248,1,1,1,1,1,1,1,1,1,1,1,5,1,0,13.04926351,13.18190129,5.517452896,1.791759469,1.725414927,1.777761732,0.401398028,0.0747324,2.244661177,2.265113645,0.689504182,0.295792384
메이더호텔,제주,제주시,없음,50694,62194,53,1,1,1,1,0,1,0,0,1,1,0,0,0,1,10.83358257,11.03802989,3.988984047,0,-0.823974035,-0.714412974,-0.664099059,-0.659697953,-1.481630908,-1.277340427,-0.873625088,-1.260372095
라마다프라자제주호텔,제주,제주시,"라마다프라자제주, 제주 리젠트마린 더 블루, 휘슬락, 오션 스위츠 제주 호텔",194209,243414,400,1,1,1,1,1,1,0,1,1,1,0,4,0,1,12.17669533,12.40252308,5.993961427,1.609437912,0.72142755,0.871762122,0.733572578,0,0.777191807,0.977297827,1.176818289,0.137443936
오션그랜드호텔,제주,제주시,라마다제주함덕,93748,96703,74,1,1,1,1,0,0,0,0,1,1,0,1,0,1,11.44837628,11.47941005,4.317488114,0.693147181,-0.116585047,-0.201324148,-0.435098562,-0.375581509,-0.447681979,-0.548020128,-0.537671678,-0.658365498
엠버시티호텔(구.아이비호텔),제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 어반스테이 제주연동",100432,78848,50,0,0,1,1,0,0,0,0,0,0,0,16,0,1,11.51724612,11.27528991,3.931825633,2.833213344,-0.0373425865,-0.438606589,-0.703944244,0.501617453,-0.331857929,-0.885300716,-0.932079658,1.200307501
엠버호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",96904,100881,67,0,1,0,1,0,0,0,0,0,1,0,23,0,1,11.4814864,11.5217068,4.219507705,3.17805383,-0.078488149,-0.152155671,-0.503400798,0.642965288,-0.391997981,-0.478130537,-0.637873945,1.499805578
롯데시티호텔 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",159906,184097,255,1,1,1,1,1,1,1,1,1,1,0,23,0,1,11.98234768,12.1232235,5.545177444,3.17805383,0.497808821,0.547086234,0.420724837,0.642965288,0.450341447,0.515793496,0.717857428,1.499805578
그라벨호텔,제주,제주시,없음,137810,157521,139,1,1,1,1,0,1,0,0,1,1,0,0,0,1,11.83363846,11.96732041,4.941642423,0,0.326702222,0.3658544,0,-0.659697953,0.200244983,0.258184971,0.100636306,-1.260372095
아이진호텔,제주,제주시,"신라스테이제주, 호텔더원, 어반아일랜드호텔, 제주 센트럴 시티, 글로스터 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",115171,108323,75,1,1,1,1,0,0,0,0,1,1,0,9,0,1,11.65418194,11.59288202,4.33073334,2.302585093,0.120217409,-0.0694169953,-0.425865302,0.284116444,-0.101561739,-0.360523229,-0.524126095,0.739450533
아스타호텔,제주,제주시,알리바호텔,96779,105350,130,1,1,1,1,1,0,0,1,1,1,0,1,0,1,11.48019564,11.56505291,4.875197323,0.693147181,-0.0799733081,-0.101767344,-0.0463189419,-0.375581509,-0.39416875,-0.406507014,0.03268446,-0.658365498
신라스테이제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",130910,152108,301,1,1,1,1,1,0,0,0,1,1,0,23,0,1,11.78227298,11.93235265,5.710427017,3.17805383,0.267600489,0.325205613,0.535920471,0.642965288,0.113859452,0.20040553,0.886854293,1.499805578
베니키아호텔제주(구. 뉴베니키아호텔제주),제주,제주시,"올레리조트, 수앤수리조트(구.수앤수가족호텔)",96537,88096,188,1,1,1,1,0,1,0,0,1,1,0,2,0,1,11.47769199,11.38619376,5.241747015,1.098612289,-0.0828540355,-0.309684785,0.209203197,-0.209384044,-0.39837934,-0.702047284,0.407546239,-0.306214213
호텔더원,제주,제주시,"엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 어반아일랜드호텔, 그랜드하얏트 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",80969,102705,180,1,1,1,1,1,0,0,0,1,1,0,17,0,1,11.30183399,11.53962582,5.198497031,2.890371758,-0.285198348,-0.131325443,0.179053592,0.525046309,-0.694134135,-0.448521808,0.363315494,1.249950265
탐라스테이,제주,제주시,없음,103197,133900,116,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11.54440475,11.804856,4.762173935,0,-0.00609353726,0.176995267,-0.125107653,-0.659697953,-0.286183029,-0.0102652309,-0.0829019104,-1.260372095
어반아일랜드호텔,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 호텔 시리우스, 신신호텔 제주공항, 제주 센트럴 시티, 글로스터 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",67153,86798,70,1,1,1,1,0,0,0,0,0,1,0,16,0,1,11.11474377,11.37135038,4.262679877,2.833213344,-0.500466597,-0.326939689,-0.473305436,0.501617453,-1.008779089,-0.726573937,-0.593722777,1.200307501
