SRCHWRD_NM,SRCHWRD_MENTN_CO,ORIGIN_CL_NM,REPRSNT_KWRD_NM,REPRSNT_KWRD_MENTN_CO,ALL_KWRD_CN,ALL_KWRD_CO,NTCE_YM
산방산,0,페이스북,,0,,0,202312
카멜리아힐,0,페이스북,,0,,0,202312
성산일출봉,0,페이스북,,0,,0,202312
스누피가든,0,페이스북,,0,,0,202312
빛의벙커,0,페이스북,,0,,0,202312
금오름,0,페이스북,,0,,0,202312
용머리해안,0,페이스북,,0,,0,202312
비자림,0,페이스북,,0,,0,202312
천지연폭포,0,페이스북,,0,,0,202312
천제연폭포,0,페이스북,,0,,0,202312
새별오름,0,페이스북,,0,,0,202312
제주실탄사격장,0,페이스북,,0,,0,202312
테디베어뮤지엄제주,0,페이스북,,0,,0,202312
여미지식물원,0,페이스북,,0,,0,202312
메이즈랜드,0,페이스북,,0,,0,202312
제주관광,0,페이스북,,0,,0,202312
제주카페,0,페이스북,,0,,0,202312
제주여행,0,페이스북,,0,,0,202312
제주가볼만한곳,0,페이스북,,0,,0,202312
제주캠핑,0,페이스북,,0,,0,202312
제주차박,0,페이스북,,0,,0,202312
제주도관광,0,페이스북,,0,,0,202312
제주도카페,0,페이스북,,0,,0,202312
제주도여행,0,페이스북,,0,,0,202312
제주도가볼만한곳,0,페이스북,,0,,0,202312
제주도캠핑,0,페이스북,,0,,0,202312
제주도차박,0,페이스북,,0,,0,202312
따라비오름,0,페이스북,,0,,0,202312
궷물오름,0,페이스북,,0,,0,202312
981파크,0,페이스북,,0,,0,202312
제주맛집,0,페이스북,,0,,0,202312
제주도맛집,0,페이스북,,0,,0,202312
산방산,18,트위터,제주여행,2,제주여행/제주화순항/제주산방산/송악산/제주유람선,5,202312
카멜리아힐,8,트위터,,0,,0,202312
성산일출봉,34,트위터,판포포구,2,판포포구/주상절리/신창풍차해안도로/제주도/제주/제주여행/제주바다/제주가볼만한곳/jeju/제주항공샷,10,202312
스누피가든,19,트위터,,0,,0,202312
빛의벙커,4,트위터,,0,,0,202312
금오름,10,트위터,,0,,0,202312
용머리해안,0,트위터,,0,,0,202312
비자림,29,트위터,제주,1,제주/제주도/비자림로/전선지중화/지중화/제주특별자치도/jeju/photo/photograghy/couple/forest//snap/동행,14,202312
천지연폭포,5,트위터,,0,,0,202312
천제연폭포,0,트위터,,0,,0,202312
새별오름,2,트위터,,0,,0,202312
제주실탄사격장,0,트위터,,0,,0,202312
테디베어뮤지엄제주,0,트위터,,0,,0,202312
여미지식물원,1,트위터,,0,,0,202312
메이즈랜드,1,트위터,,0,,0,202312
제주관광,11,트위터,제주도여행가볼만한곳,3,제주도여행가볼만한곳/제주투어/제주여행/제주여행상담/7월제주여행싸게가기/제주가족여행/제주3박4일여행코스/제주모바일쿠폰/제주관광지입장할인권/제주쿠폰/제주관광지무료입장/제주무료입장관광지/제주공영관광지추천/제주수국/수국/제주여름여행/여름꽃/제주관광할인권,18,202312
제주카페,3,트위터,,0,,0,202312
제주여행,125,트위터,제주도2박3일여행,6,제주도2박3일여행/우도캠핑/우도숙박/비양도/제주여행밴드/제주여행가볼만한곳/제주투어/제주가볼만한곳/제주여행싸게가기/여름제주도여행/제주가족나들이/제주화순항/제주산방산/송악산/제주유람선/여행친구/제주여행친구/여행친구만들기/제주여행철여행/제주여름휴가여행/7월제주도여행/8월제주도여행/제주도여행코스/7월제주여행/휴가철제주도여행/제주가족여행준비/제주도여행/제주펜션/코코몽에코파크/제주테마파크/제주가족여행/제주관광/제주여행상담/7월제주여행싸게가기/제주여행친구만들기/판포포구/성산일출봉/주상절리/신창풍차해안도로/제주도3박4일여행/제주도여행싸게가기/월요일에준비하는제주여행/제주솔로여행/제주혼여/제주도펜션/광이멀스테이/제주독채펜션/제주도풀빌라/제주풀빌라/제주독채풀빌라/제주풀빌라독채/jejudo/jenuisland/jejudoisland/tripinkorea/traveljeju/여행밴드모임/혼자서제주도여행하기/렛츠런파크제주/제주공원/신화월드워터파크/신화월드워터파크꿀팁/제주워터파크/디포레카라반파크/제주카라반파크/제주숙소/제주맛집/제주여행맛집추천/내돈내산제주도맛집/제주맛집탐방/제주맛집투어/제주도가족여행/8월제주여행/여름철제주여행/여름휴가철제주도여행/7월제주도여행싸게가기/제주여름여행/정모공지/제주여행친구밴드/제주숙박렌터카/제주카텔/표석생각독채펜션/카텔3박4일상품/컴온제주/제주여행상품예약/제주여행모임공지/제주해수욕장CCTV/중문해수욕장CCTV/여름철제주도여행가볼만한곳/제주도/제주/제주바다/jeju/제주항공샷/우도여행,95,202312
제주가볼만한곳,5,트위터,제주여행,4,제주여행/판포포구/성산일출봉/주상절리/신창풍차해안도로/렛츠런파크제주/제주가족나들이/제주공원/제주도가족여행/8월제주여행/여름철제주여행/제주투어/제주여름여행/제주도여행/제주도/제주/제주바다/jeju/제주항공샷/제주해수욕장/여름휴가철/여름제주도여행/제주도여행코스추천,23,202312
제주캠핑,0,트위터,,0,,0,202312
제주차박,0,트위터,,0,,0,202312
제주도관광,2,트위터,,0,,0,202312
제주도카페,1,트위터,,0,,0,202312
제주도여행,79,트위터,제주도2박3일여행,10,제주도2박3일여행/제주도가볼만한곳/제주해수욕장/제주도여행코스/제주도여행싸게가기/여름제주도여행/제주투어/여름철제주도여행/제주2바3일여행/제주2박3일여행코스/7월제주도여행/제주여행싸게가기/제주여행가볼만한곳/제주도여행가볼만한곳/제주날씨/여름휴가철제주도여행/7월제주도여행싸게가기/제주여행철여행/제주여름휴가여행/8월제주도여행/7월제주여행/휴가철제주도여행/제주가족여행준비/제주여행/제주도렌터카예약사이트/7월제주도여행코스/제주가족여행코스/제주여름여행/제주가볼만한곳/반려동물동반여행/제주도여행함께가기/애완견/애완묘/제주도여행준비하기/제주관광지무료입장/제주무료입장관광지/제주공영관광지추천/제주도인/제주도in/제주도날씨/제주도3박4일여행/월요일에준비하는제주여행/에듀고시넷/여름철휴가제주도여행/제주여름휴가/제주여름가족여행/제주도펜션/광이멀스테이/제주독채펜션/제주펜션/제주도풀빌라/제주풀빌라/제주독채풀빌라/제주풀빌라독채/jejudo/jenuisland/jejudoisland/tripinkorea/traveljeju/제주여행친구만들기/제주여행밴드/여행밴드모임/혼자서제주도여행하기/중문해수욕장/제주서귀포날씨/제주해수욕장CCTV/중문해수욕장CCTV/여름철제주도여행가볼만한곳/여름휴가철/제주도여행코스추천/제주수국/수국/여름꽃/제주관광할인권,74,202312
제주도가볼만한곳,9,트위터,제주해수욕장,8,제주해수욕장/제주도여행코스/여름철제주도여행/제주2바3일여행/제주2박3일여행코스/제주도인/제주도in/제주투어/중문해수욕장/제주서귀포날씨/제주날씨,11,202312
제주도캠핑,0,트위터,,0,,0,202312
제주도차박,0,트위터,,0,,0,202312
따라비오름,0,트위터,,0,,0,202312
궷물오름,0,트위터,,0,,0,202312
981파크,1,트위터,,0,,0,202312
제주맛집,16,트위터,승환이를위한제주맛집,8,승환이를위한제주맛집/승환아내말믿고먹어봐/제주맛집리스트/제주도맛집리스트/제주맛집추천/내돈내산제주맛집/제주여행맛집추천/내돈내산제주도맛집/제주맛집탐방/제주맛집투어/제주여행가볼만한곳/승환아너는이거봐도국밥먹겠지,12,202312
제주도맛집,7,트위터,제주맛집,2,제주맛집/제주맛집리스트/제주도맛집리스트/제주맛집추천/내돈내산제주맛집/제주여행맛집추천/내돈내산제주도맛집/제주맛집탐방/제주맛집투어/제주여행가볼만한곳,10,202312
산방산,1986,인스타그램,제주도,438,제주도/용머리해안/제주/산방산맛집/제주여행/송악산/제주맛집/제주도여행/사계해변/서귀포맛집/서귀포/중문맛집/제주도맛집/원앤온리/서귀포여행/신화월드맛집/jejuisland/형제섬/여행/산방산카페/jeju/카멜리아힐/송악산맛집/서귀포가볼만한곳/제주여행중/용머리해안맛집/용머리/제주신화월드/애월/jejutravel/제주공항맛집/산방산탄산온천/산방산유채꽃/오설록맛집/제주시맛집/사계리맛집/금오름/제주맛집탐방/소인국테마파크/안덕면맛집/제주대학교/제주매운음식/중문관광단지/군산오름/용머리해안아름다운절경/서귀포시공영관광지/용머리관람시간/용머리통제/루나폴/새별오름/귤밭사진관/제주도오설록/협재해변/제주도사진관/제주도우정촬영/한라산/제주산방산맛집/제주카페/애월맛집/가족여행/제주공항근처맛집/제주살이/카멜리아힐맛집/제주도카페/본태박물관/신제주맛집/오설록/여름휴가/모슬포맛집/송악산둘레길/제주숙소/대정읍/마라도/사계해안/소색채본/산방산랜드/서귀포카페/카페/산방굴사/원앤온리제주/바다/안덕면/천지연폭포/탄산온천/사계리/화순금모래해변/휴가/제주바다/사계바다/제주신화월드맛집/여행스타그램/제주가볼만한곳/란나선물가게/일상/금화덕/동문시장맛집/새연교맛집/천지연폭포맛집/중문술집/중문파스타맛집/색달해변맛집/제주한달살기/제주더비치크랩/가파도/서귀포소품샵/곶자왈화덕피자/제주여행코스/산방산뷰/사계/제주일상/성산일출봉/단산/제주도가볼만한곳/맛집/산방산소품샵/박수기정/산하쿠/사진/사계포구/뷰맛집/협재해수욕장/보문사/정방폭포/신화월드/제주란나선물가게/서귀포시/안덕/사계맛집/제주기념품/온천/모슬포/제주숙소추천/airbnb/제주레진아트/제주체험공방/서귀포레진아트/서귀포레진공방/엘파소/천제연폭포/야시장/제주야시장/여행에미치다/제주핫플/산방연대/올레길/흑돼지/구름/커피스케치/신창풍차해안도로/사계골목집/981파크/제주흑돼지/오설록근처맛집/OSULLOC/형제해안로/마노르블랑/비스트로낭/사진스타그램/비/제주한달살이/제주산방산/중문/오름/제주양식당/산방산근처/풍경/육아/제주소품샵/제주펜션/하이숙성/카페루시아/제주여행추천/jejudo/수국/산방산펜션/쇠소깍/여기/제주도소품샵/산방산유람선/치치퐁/먹스타그램/제주생활/제주도민/군산/온앤온리/서귀포김밥/올레길10코스/서귀포숙소/오설록티뮤지엄/서귀포펜션/협재/여름/판포포구/섭지코지/우도/해안도로/제주맛집추천/안덕맛집/순천미향/작업실/travel/가파도맛집/사계해안도로/노을/산방산야시장/대정/태풍/요트투어/수국정원/햇살머금고바람한모금/햇살바람/제주도산방산/빌라사계/아르떼뮤지엄/산방산보문사/장마/유채꽃/제주팜카페/영어교육도시/제주카페추천/sanbangsan/커피/oneandonly/제주흑돼지맛집/3일차/가족/제주감성숙소/주상절리/대정읍맛집/황우치해변/산방산흑돼지/갈치조림/아름다운/수국맛집/식후경/구경/옵써/놀당/먹엉/방언/파도/여름방학/승마체험/제주하늘/제주화덕피자맛집/제주서귀포흑돼지/가을/제주박펜션/제주도카페추천/등산/올레10코스/제주카페투어/photography/오늘아님/사계리펜션/복층펜션/일몰/제주독채펜션/좋아요/이호테우해변/사려니숲길/풍경사진/화순/취미사진/곶자왈/펜션/수영장/노천탕/오션뷰/금능해수욕장/논짓물/비자림/제주도핫플/안덕면카페/마라도맛집/유럽수국축제/제주해조네보말성게전문점/증명서/자격증시험/신분증/밤공기/밤기저귀/산미구엘/wine/원앤온리카페/제주라이프/제주서쪽맛집/제주뷰맛집/도미/산방산횟집/서귀포횟집/제주박요트/산방산숙소/힐링여행/드라이브/일출/운해/거제도/처음/커플링/봄비/화순항/제주신상카페/카페투어/제주용머리해안/날씨좋다/산책/맛스타그램/거제/운진항/비양도/함덕/수박빙수/원앙폭포/뷰/산스타그램/중문색달해변/제주도가족여행/약천사/2일차/제주풍경/제주도민맛집/제주의삶/제주도한달살기/여행기록/차원이다른/사랑스러운/먹기미안할정도/사계해변맛집/중문카페/육아스타그램/제주관광/빈티지/사진계정/제주날씨/제주게스트하우스/Jeju/창천리맛집/주상절리대/제주도캠핑/산양큰엉곶/산행/흑돼지캠프장/숙소안마당/제주시/하늘/제주오름/흑돼지맛집/무지개/제주핫플레이스/45개월/5살/유치원여름방학여행/제주도여행4박5일/일도바다/제주해물오빠/모슬포횟집/신화월드횟집/오설록횟집/덕수리횟집/사계리횟집/제주참돔/제주벵어돔/포비제주/ootd/스노우클링/제주일상스타그램/힐링중/제주도여행코스/토요일/구름모자/백패킹/수채화/처피뱅/처갓집/처묵처묵/조향사/카페추천/오산맛집/등산스타그램/소통해요/비오는날/좋아요반사/제주애플망고빙수/제주중문맛집/제주롯데호텔/제주서쪽/연돈/한달살기/서귀포여행코스/함덕해수욕장/제주공항근처/알뜨르비행장/신축/독채/커플/2023/셀스타그램/야경/중문숙소추천/차박/장인의집/광명사/숙소/제주데이트코스/슈퍼커브/포도호텔/금능해변/LeicaR8/LEICAr/ELMARIT/라이카R8/라이카/엘마리트/b/제주브런치/제주가족여행/제주공항근처가볼만한곳/남경미락/보말칼국수/리그램/운진항근처/안덕카페/사계의시간/이자카야/휴가중/브런치카페/국내여행/레일썰매/플리마켓/제주플리마켓/산방산플리마켓/용머리플리마켓/제주노을/3박4일/곽지해수욕장/구름스타그램/제주여행지/송악산카페/깔루아/삼거리농원/빈티지인테리어/숙성도/흑돼지숯불구이/산방양꼬치/둘레길/트로피컬하이드어웨이/산방산게스트하우스/위이/플레이사계/사일리커피/서쪽/딱새우장/트레킹/제주에서/보말잡기/아침/대평리/제주모슬포/제주감성카페/태풍카눈/제주서귀포흑돼지맛집/제주산방산흑돼지맛집/산방댁/안덕면상가/사계리상가/안덕면사계리상가/선채향/더비치크랩/유채꽃밭/jejulife/제주박/물놀이/사계펜션/제주부부/호랑가/제주김밥/여행일기/산/daily/selfie/제주휴가/파운드케이크/셀카/좋반/보성리/구억리/영어마을/스누피가든/데일리/꽃/핫플/1100고지/제주서귀포/휴일로/카페인테리어/아침미소목장/엉또폭포/wiee/제주여행3일차/수요일/제주공항/천지연/용머리해변/야자수/강아지/여미지식물원/고기국수/갈치조림맛집/서귀포갈치조림/유람선/제주서쪽여행/korea/산방산케빈/사계항/셀피/돌고래/제주데이트/서귀포핫플/흐림/제주용머리해안맛집/핀크스골프클럽/레스토랑추천/핀크스/비오토피아/서귀포도시락/사계풀빌라/산방산가볼만한곳/방문/제주갈치조림/셀프인테리어/아이랑제주여행/사진소통/인스타그램/자연/일일사계/대왕화덕피자/커피메딕/제주도대표/제주카페창업/구억리맛집/영도맛집/여행사진/원피스/미카의달콤한작업실/형제/9살/6살/맘스타그램/좋다/제주제왕삼합/일상소통/제주원앤온리/대한민국구석구석/아이스크림/산방산갈중이/interior/화순맛집/아이와제주/코난비치/한달살이/아기랑제주/해변/camelliahill/밤공/산문집/산방산케이크/방학/제주깔루아/산방탄산온천/가파도근처맛집/cafe/추억/제주도고기집/뷰티그램/갈비살/글씨체/아가새/캠린이/형제의섬/가족여행기록/전복죽/제주여행선물/산방산승마체험/제주스냅/제주관광지/육아소통/젠하이드어웨이/제주도백패킹/하모해수욕장/밤낚시/슈퍼커브110/제주명소/깔루아제주/친구/바람/제주제트/헬로키티아일랜드/파도소리/캠핑/제주도펜션/제주환상자전거길/육아일상/제주촌놈게장/촌놈게장/양념게장맛집/간장게장맛집/제주오션뷰카페/제주일몰/황우치해안/무늬오징어/굿모닝/따라비오름/아들스타그램/제주호랭이/번네식당/산방산아래옷가게/갈치구이/제주도게스트하우스/포비베이글/베이글맛집/urbansketch/usk/유딧의어반캠퍼스/제주게하/uskjeju/게스트하우스/섯알오름/제주도흑돼지맛집/제주여행5일차/제주가좋아서/하늘이미쳤다/부영호텔/포비/아기랑여행/제주도핫플레이스/인물사진/사계부부/비숑프리제/아메리카노/빈티지조명/제품사진/전국꽃배달/런지/제주수국/수국축제/숙소추천/어린왕자감귤밭/백패커/경상도/아웃도어/제주수목원테마파크/에코랜드/올레길걷기/산방산근처카페/휴식/제주빈티지샵/무속인/울산점집/그레이그로브/엘파소제주/엘파소카페/인생네컷/휴애리/샤려니숲길/팔로우/최남단마라도/서귀포안덕면/감성/거제산방산/세화해수욕장/월정리/비오는/제주파스타/제주도브런치/리틀보라카이/우진해장국/김녕해수욕장/산방산우리동네/Repost/아기랑제주도/제주도숙소/나는산악인이다/프로산악인/돈내코/디저트/제주오설록/제주애플망고/황우지해안/설화와자연의길/직장인/제주갈만한곳/산방산카페추천/산방산아래/제주라이딩/제주포토스팟/400d/film/차귀도/해물탕/토끼/표선해수욕장/서귀포올레시장/가족스타그램/찜질방/식혜/추천/day3,4361,202312
