시도,승인일자,이용건수_전체,이용금액_전체,이용건수_개인,이용금액_개인,이용건수_법인,이용금액_법인
제주,20200101,179.0,5526.0,167.0,4953.0,12.0,573.0
제주,20200102,212.0,7303.0,192.0,6121.0,20.0,1182.0
제주,20200103,220.0,7666.0,199.0,6368.0,20.0,1298.0
제주,20200104,216.0,7192.0,199.0,6314.0,17.0,878.0
제주,20200105,188.0,5851.0,175.0,5226.0,13.0,625.0
제주,20200106,217.0,7801.0,197.0,6616.0,20.0,1185.0
제주,20200107,205.0,7167.0,186.0,5989.0,19.0,1178.0
제주,20200108,208.0,7165.0,189.0,5957.0,19.0,1208.0
제주,20200109,216.0,7429.0,195.0,6184.0,20.0,1245.0
제주,20200110,222.0,7829.0,201.0,6520.0,21.0,1310.0
제주,20200111,217.0,7364.0,200.0,6497.0,16.0,866.0
제주,20200112,184.0,5865.0,171.0,5240.0,13.0,625.0
제주,20200113,216.0,7788.0,196.0,6344.0,20.0,1444.0
제주,20200114,209.0,7966.0,190.0,6641.0,19.0,1325.0
제주,20200115,218.0,8222.0,197.0,6729.0,21.0,1493.0
제주,20200116,220.0,8407.0,199.0,6930.0,21.0,1476.0
제주,20200117,225.0,8684.0,203.0,7144.0,21.0,1540.0
제주,20200118,217.0,7638.0,200.0,6690.0,17.0,948.0
제주,20200119,187.0,6199.0,174.0,5452.0,13.0,748.0
제주,20200120,222.0,8918.0,201.0,7212.0,21.0,1707.0
제주,20200121,223.0,9180.0,202.0,7345.0,21.0,1835.0
제주,20200122,212.0,9291.0,191.0,7432.0,20.0,1859.0
제주,20200123,260.0,12006.0,238.0,9989.0,21.0,2017.0
제주,20200124,213.0,7231.0,200.0,6539.0,13.0,691.0
제주,20200125,106.0,2584.0,100.0,2353.0,6.0,231.0
제주,20200126,153.0,4629.0,143.0,4239.0,9.0,390.0
제주,20200127,145.0,4377.0,136.0,3936.0,9.0,441.0
제주,20200128,206.0,7323.0,188.0,6001.0,19.0,1323.0
제주,20200129,200.0,7250.0,180.0,5747.0,20.0,1503.0
제주,20200130,200.0,7151.0,180.0,5686.0,20.0,1465.0
제주,20200131,209.0,8237.0,188.0,6295.0,21.0,1942.0
제주,20200201,197.0,6417.0,182.0,5643.0,15.0,774.0
제주,20200202,165.0,5031.0,154.0,4503.0,11.0,528.0
제주,20200203,199.0,6934.0,180.0,5668.0,20.0,1267.0
제주,20200204,193.0,6711.0,174.0,5438.0,19.0,1273.0
제주,20200205,192.0,6589.0,172.0,5382.0,19.0,1208.0
제주,20200206,192.0,6863.0,173.0,5566.0,19.0,1297.0
제주,20200207,199.0,7308.0,180.0,5989.0,20.0,1319.0
제주,20200208,186.0,5958.0,172.0,5267.0,15.0,691.0
제주,20200209,162.0,4798.0,150.0,4304.0,11.0,494.0
제주,20200210,199.0,7095.0,180.0,5811.0,20.0,1283.0
제주,20200211,197.0,6787.0,178.0,5456.0,20.0,1331.0
제주,20200212,188.0,6275.0,170.0,5136.0,18.0,1139.0
제주,20200213,205.0,7515.0,186.0,6199.0,19.0,1317.0
제주,20200214,216.0,7727.0,196.0,6412.0,20.0,1315.0
제주,20200215,206.0,6596.0,190.0,5871.0,16.0,725.0
제주,20200216,158.0,4764.0,147.0,4304.0,11.0,460.0
제주,20200217,176.0,6788.0,159.0,5718.0,16.0,1070.0
