ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202312,(주)블루밍그릴,서귀포시,예래동,서귀포시내,한식,가정식,0.72,0.44,1.72,2.01,1.74,1.92,-0.48,14613,나나98b74a
202312,컴포즈커피외도점,제주시,외도동,제주시내,음료,커피,0.71,9.3,0.04,1.1,0.15,4.08,0.07,2786,다다00a00b
202312,친한친구분식,제주시,외도동,제주시내,간식,분식,0.01,0.12,0,0,0,0.04,0,6123,다다00b00b
202312,메가엠지씨커피제주이호로드점,제주시,이호동,제주시내,음료,커피,0.06,0.64,0.01,0.19,0.02,0.38,-0.38,14387,다다03a00b
202312,제주라면2호점,제주시,도두동,제주시내,한식,가정식,0.09,0.26,0.31,2.01,0.31,1.86,-0.62,14779,다다04a02a
202312,또바기,제주시,노형동,제주시내,한식,단품요리 전문,1.21,1.75,0.02,0.06,0.21,0.64,-0.17,13080,다나04b99b
202312,별미집,제주시,노형동,제주시내,한식,가정식,1.64,4.01,0.04,0.32,0.3,1.62,0.01,6118,다다04b00a
202312,너야말로진정회신제주점,제주시,노형동,제주시내,한식,단품요리 전문,0,0,0.02,0.09,0.02,0.08,-0.02,8104,다나05a99a
202312,후라이드의품격,제주시,노형동,제주시내,한식,단품요리 전문,0.05,0.17,0,0.01,0.01,0.07,-0.03,9035,다다05a00a
202312,몽키비치,서귀포시,중문동,서귀포시내,한식,단품요리 전문,0,0,0,0,0,0,0,6124,나나99b73b
202312,육회말투아웃,서귀포시,중문동,서귀포시내,한식,단품요리 전문,0.15,0.16,0.01,0.03,0.04,0.08,-0.02,8105,나나99b73b
202312,산촌오리외도점,제주시,외도동,제주시내,한식,오리,0.61,0.44,0,0,0.1,0.15,-0.06,10250,다다00b00a
202312,한솥도시락 제주외도동점,제주시,외도동,제주시내,기타,도시락,1.49,1.99,0,0.06,0.24,0.72,-0.01,7485,다나00b99b
202312,국대전,제주시,외도동,제주시내,한식,가정식,0.31,0.63,0.01,0.08,0.06,0.28,-0.08,11240,다나00b99b
202312,피자베이 노형점,제주시,노형동,제주시내,피자.치킨.햄버거,피자,0.44,0.99,0.02,0.06,0.09,0.39,-0.13,12375,다나04b99a
202312,카츠쿠,제주시,노형동,제주시내,아시아음식,일식,0.29,0.65,0.03,0.12,0.07,0.32,-0.07,10774,다나05a99b
202312,봉구비어노형점,제주시,노형동,제주시내,주점및주류판매,맥주/요리주점,0.82,1.59,0.02,0.05,0.15,0.57,0.03,4296,다다05a00a
202312,카페온,제주시,노형동,제주시내,음료,커피,0.18,0.68,0.02,0.15,0.04,0.36,-0.11,11922,다다05a00a
202312,아라차림,제주시,아라동,제주시내,한식,단품요리 전문,0.07,0.12,0.01,0.02,0.02,0.05,-0.02,8106,다나10b98a
