관광지명,관광지분류,주소,운영상세사항,관광지설명,경도,위도,분류,반려견제한사항
금호제주리조트 아쿠아나,테마파크,제주특별자치도 서귀포시 남원읍 남원리 2390,매월1번째월요일 / ,바다와 한라산 전망을 동시에 누리는 Seaside Resort / 11000원(온천탕성인)+9000원(온천탕어린이)+22000원(아쿠아나주중성인)+20000원(아쿠아나주중어린이)+26000원(아쿠아나주말성인)+21000원(아쿠아나주말어린이)+30000원(아쿠아나성수기성인)+26000원(아쿠아나성수기어린이),126.7014326,33.27264281,마을 관광자원,
큰엉해안경승지,자연,제주특별자치도 서귀포시 남원읍 남원리 2379-3,연중무휴 / (평일+주말+공휴일)11:00~20:00,때묻지 않은 기암절벽이 아름다운 해양경승지 / 무료,126.7037085,33.27334251,마을 관광자원,
코코몽 에코파크,테마파크,제주특별자치도 서귀포시 남원읍 남원리 2380 ,화요일 / (평일+주말+공휴일)10:00~18:00,아이들의 오감을 자극하는 친환경 프리미엄 테마파크 / 25000원(24개월이상13세까지아동)+15000원(중학생이상성인+장애아동)+무료(24개월미만유아)+9500원(장애성인)+3000원(코코몽기차1회탑승권+카레이싱1회이용권)+6000원(자유이용권),126.7058511,33.27455804,마을 관광자원,
마흐니 숲길,자연,제주특별자치도 서귀포시 남원읍 수망리 산203,연중무휴 / ,사색을 즐기며 걷기 좋은 숲길 / 무료,126.6551931,33.37944666,마을 관광자원,
물영아리오름,오름,제주특별자치도 서귀포시 남원읍 수망리 산 189,연중무휴 / ,신령스러운 산이라는 뜻의 '영아리'와 분화구에 물이 고인 습지를 품고 있기에 '물'이라는 접두어가 붙은 오름 / 무료,126.6935196,33.3708091,마을 관광자원,
양금석가옥,관광지,제주특별자치도 서귀포시 남원읍 신례1리 1314,연중무휴 / ,제주도 전통 초가 양식으로 이루어진 가옥 / 무료,126.6284804,33.29131729,마을 관광자원,
동백포레스트,테마파크,제주특별자치도 서귀포시 남원읍 신례리 1767,월요일+화요일 / (평일+주말+공휴일)10:00~18:00,사진찍기 좋은 신례리 동백나무 군락지 / 4000원(성인)+3000원(제주도민+초등학생+경로)+무료(미취학아동+국가유공자),126.6361998,33.30030681,마을 관광자원,
이승이오름(이승악),오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-4,연중무휴 / ,살쾡이를 닮아서 이승이란 이름을 갖게 된 오름 / 무료,126.6222444,33.34014394,마을 관광자원,
사라오름,오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,연중무휴 / ,노루 떼가 뛰어노는 모습이 한 폭의 그림 같은 곳임 / 무료,126.5708337,33.37192793,마을 관광자원,
휴애리 자연생활공원,공원,제주특별자치도 서귀포시 남원읍 신례리 2081,연중무휴 / (평일+주말+공휴일)09:00~18:00,자연 속 동식물들과 교감이 있는 체험형 자연생활공원 / 13000원(성인)+11000원(청소년+성인단체)+10000원(어린이)+9000원(청소년단체)+8000원(어린이단체)+6500원(경로+유공자성인+장애인성인+제주도민성인)+5500원(유공자청소년+장애인청소년+제주도민청소년)+5000원(유공자어린이+장애인어린이+제주도민어린이),126.635405,33.3093861,마을 관광자원,
