방문기간,관광지명,입장인원수
2023-01,감귤박물관,7
2023-01,산방산 암벽식물지대,549
2023-01,서귀포 치유의 숲,516
2023-01,서귀포천문과학문화관,155
2023-01,서복전시관,297
2023-01,용머리해안,2169
2023-01,이중섭미술관,967
2023-01,정방폭포,4255
2023-01,천제연폭포,3278
2023-01,천지연폭포,6919
2023-02,산방산 암벽식물지대,570
2023-02,서귀포 치유의 숲,739
2023-02,서귀포천문과학문화관,146
2023-02,서복전시관,360
2023-02,용머리해안,3767
2023-02,이중섭미술관,893
2023-02,정방폭포,5112
2023-02,천제연폭포,4126
2023-02,천지연폭포,9271
2023-03,감귤박물관,1
2023-03,산방산 암벽식물지대,1041
2023-03,서귀포 치유의 숲,1426
2023-03,서귀포천문과학문화관,121
2023-03,서복전시관,618
2023-03,용머리해안,5965
2023-03,이중섭미술관,1291
2023-03,정방폭포,7686
2023-03,천제연폭포,9183
2023-03,천지연폭포,13680
2023-04,감귤박물관,6
2023-04,산방산 암벽식물지대,951
2023-04,서귀포 치유의 숲,2020
2023-04,서복전시관,646
2023-04,용머리해안,3557
2023-04,이중섭미술관,1346
2023-04,정방폭포,9026
2023-04,제주돌문화공원,4925
2023-04,천제연폭포,9116
2023-04,천지연폭포,21777
2023-05,감귤박물관,2
2023-05,산방산 암벽식물지대,722
2023-05,서귀포 치유의 숲,1726
2023-05,서복전시관,199
2023-05,용머리해안,6237
2023-05,이중섭미술관,1552
2023-05,정방폭포,7246
2023-05,천제연폭포,6955
2023-05,천지연폭포,18434
2023-06,산방산 암벽식물지대,688
2023-06,서귀포 치유의 숲,1324
2023-06,서복전시관,56
2023-06,용머리해안,2142
2023-06,이중섭미술관,984
2023-06,정방폭포,6695
2023-06,천제연폭포,5224
2023-06,천지연폭포,14900
2023-07,산방산 암벽식물지대,460
2023-07,서귀포 치유의 숲,563
2023-07,서복전시관,21
2023-07,용머리해안,95
2023-07,이중섭미술관,745
2023-07,정방폭포,6689
2023-07,천제연폭포,3667
2023-07,천지연폭포,8181
2023-08,산방산 암벽식물지대,370
2023-08,서귀포 치유의 숲,807
2023-08,서귀포천문과학문화관,205
2023-08,용머리해안,2418
2023-08,이중섭미술관,981
2023-08,정방폭포,9721
2023-08,천제연폭포,3348
2023-08,천지연폭포,10150
2023-09,산방산 암벽식물지대,450
2023-09,서귀포 치유의 숲,1276
2023-09,서귀포천문과학문화관,156
2023-09,용머리해안,3084
2023-09,이중섭미술관,896
2023-09,정방폭포,7851
2023-09,주상절리대,5538
2023-09,천제연폭포,4609
2023-09,천지연폭포,10763
2023-10,산방산 암벽식물지대,861
2023-10,서귀포 치유의 숲,1817
2023-10,서귀포천문과학문화관,171
2023-10,용머리해안,4132
2023-10,이중섭미술관,1358
2023-10,정방폭포,8183
2023-10,주상절리대,10589
2023-10,천제연폭포,5931
2023-10,천지연폭포,15079
2023-11,산방산 암벽식물지대,691
2023-11,서귀포 치유의 숲,1252
2023-11,서귀포천문과학문화관,84
2023-11,용머리해안,3907
2023-11,이중섭미술관,1291
2023-11,정방폭포,5221
2023-11,주상절리대,7994
2023-11,천제연폭포,4668
2023-11,천지연폭포,11142
2023-12,산방산 암벽식물지대,404
2023-12,서귀포 치유의 숲,418
2023-12,서귀포천문과학문화관,92
2023-12,서복전시관,127
2023-12,용머리해안,1426
2023-12,이중섭미술관,1021
2023-12,정방폭포,3413
2023-12,주상절리대,5205
2023-12,천제연폭포,2414
2023-12,천지연폭포,6666
