분류명,지역명,전체조회
관광지,성산일출봉(UNESCO 세계자연유산),92012
관광지,사려니숲길,91246
관광지,비자림,90622
관광지,우도(해양도립공원),75874
관광지,한라산영실코스,56604
관광지,용머리해안,48526
관광지,천지연폭포,45349
관광지,만장굴,43227
관광지,새별오름,40734
관광지,주상절리대(중문대포해안),39913
쇼핑,제주민속오일시장,45021
쇼핑,동문재래시장,23886
쇼핑,서귀포매일올레시장,15106
쇼핑,세화해녀민속오일시장,7478
쇼핑,제주관광공사 중문면세점 (내국인),6210
쇼핑,서귀포향토오일시장,6007
쇼핑,한림민속오일시장,4385
쇼핑,성산-고성오일시장,3842
쇼핑,중문향토오일시장,3142
쇼핑,동문수산시장,2687
숙박,대명리조트 제주,4920
숙박,나미송 머무는 곳,3470
숙박,해비치호텔앤드리조트,3088
숙박,휘닉스 제주 섭지코지,2850
숙박,휴양팬션 스위스마을 Swiss Village Pension,2538
숙박,제주가좋아서 펜션,2273
숙박,한화리조트 제주,1786
숙박,소노캄제주,1776
숙박,아이랑키즈펜션,1753
숙박,야크마을,1558
음식점,자매국수 본점,7434
음식점,제주김만복(만복이네김밥집),5388
음식점,노조미,4268
음식점,마노르블랑,3409
음식점,젠하이드어웨이,2976
음식점,올래국수,2835
음식점,명진전복,2602
음식점,몽상드애월(몽상),2565
음식점,웬드구니,2531
음식점,지오아라,2509
