년,상호명,외지인매출금액비율
2021,(주)오설록 제주점,9.86
2021,주식회사 토스카나,4.69
2021,주식회사 춘심이네,4.28
2021,더클리프 (주)씨앤모어,3.94
2021,주식회사 우진해장국,3.59
2021,한화호텔앤드리조트(주)제주지점,3.55
2021,델문도,3.15
2021,늘봄흑돼지,3.14
2021,주식회사 숙성도 중문지점,2.74
2021,자매국수삼도점,2.72
2022,(주)오설록 제주점,9.26
2022,숙성도 중문점,6.76
2022,한화호텔앤드리조트(주)제주지점,5.99
2022,우진해장국,5.91
2022,춘심이네 본점,4.87
2022,제주광해 애월,4.71
2022,주식회사 춘심이네,4.54
2022,주식회사 토스카나,4.47
2022,카페델문도,4.33
2022,더클리프 (주)씨앤모어,4.14
2023,(주)오설록 제주점,13.05
2023,한화호텔앤드리조트(주)제주지점,7.43
2023,숙성도 중문점,6.58
2023,우진해장국,6.57
2023,주식회사 토스카나,6.53
2023,런던베이글뮤지엄 제주,5.65
2023,늘봄흑돼지,4.85
2023,카페델문도,4.7
2023,숙성도 함덕점,4.4
2023,춘심이네 본점,4.27
