,숙박업명,ratio_weight,숙박업주소,위도,경도,구역
0,제주 골드원 호텔 스위트,11.596,제주특별자치도 서귀포시 이어도로 1032,33.243715,126.562234,서귀포시
1,제주 일레인 호텔,11.475,제주특별자치도 서귀포시 일주서로 660,33.254332,126.562036,서귀포시
2,해비치 호텔 & 리조트,11.399999999999999,제주 서귀포시 표선면 민속해안로 537,33.317332,126.830452,서귀포시
10,히든 클리프 호텔 앤 네이처,10.441,제주특별자치도 서귀포시 상예동 625,33.246711,126.512065,서귀포시
12,베니키아 중문 호텔,10.405,제주특별자치도 서귀포시 천제연로 166,33.249422,126.558743,서귀포시
3,신라스테이제주,11.363999999999999,제주특별자치도 제주시 노연로 100,33.489796,126.480314,제주시
4,베니키아호텔제주(구. 뉴베니키아호텔제주),11.336,제주 제주시 애월읍 애월해안로 554-6,33.463042,126.330485,제주시
5,수앤수리조트(구.수앤수가족호텔),11.315999999999999,제주 제주시 애월읍 부룡수길 60,33.4741615,126.3586953,제주시
6,라마다제주시티,11.286999999999999,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시
8,라마다제주함덕,10.48,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시
