,숙박업명,가장가까운식당,최단거리,가장높은검색량식당,최고검색량
0,제주 골드원 호텔 스위트,하라케케,3.1832264245859,하라케케,4625
1,제주 일레인 호텔,하라케케,3.434010656540667,은희네해장국,6863
2,해비치 호텔 & 리조트,표선수산,0.9735275201989424,표선수산마트,3612
3,히든 클리프 호텔 앤 네이처,일품순두부신시가지점,0.2965044484061297,연돈,28461
4,베니키아 중문 호텔,하라케케,2.9635376212210542,더클리프,22739
5,신라스테이제주,재벌식당,0.39160011643623066,우리솥해장국,66813
6,베니키아호텔제주(구. 뉴베니키아호텔제주),애월우니담,1.9746579967377904,제주돈애월점,12730
7,수앤수리조트(구.수앤수가족호텔),뚱딴지,0.35610284596453606,제주돈애월점,12730
8,라마다제주시티,부평갈비,1.235581672267338,진맛해장국,66813
9,라마다제주함덕,보배쌤보리김치와게장,1.607978997775152,카페델문도,17454
