,숙박업명,숙박업주소,숙박위도,숙박경도,구역,대분류명,중분류명,식당명,도시명,행정동명,식당주소,식당위도,식당경도,검색량합계값,제주도민매출금액비율,외지인매출금액비율,전체매출금액비율,숙박_식당 거리
48,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,가정식,진맛해장국,제주시,이도2동,제주 제주시 구남로 40,33.49032454,126.5346627,66813,3.05,0.1,0.38,2.4529253651124168
41,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,해장국,우경해장국,제주시,이도2동,제주 제주시 남광로2길 1,33.49217312,126.5374435,21445,1.2600000000000002,0.05,0.16,2.3654463030140396
6,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,단품요리 전문,다다,제주시,아라동,제주 제주시 신설로6길 2-3,33.49329798,126.5426077,6216,3.0,0.0,0.3,2.518193467768343
55,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,가정식,훈이네고사리육개장,제주시,이도2동,제주 제주시 구남로2길 19,33.48801458,126.5340906,4262,7.75,4.09,4.5600000000000005,2.6809369270324206
23,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,베이커리.디저트,베이커리,빵귿,제주시,이도2동,제주 제주시 구남동6길 45-1,33.48710148,126.5351323,4245,45.61999999999999,2.67,6.959999999999999,2.806482407021363
9,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,가정식,대춘해장국시청점,제주시,이도2동,제주 제주시 동광로2길 9-1,33.50062149,126.5310197,3818,25.25,0.77,3.1599999999999997,1.2623217637326516
21,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,베이커리.디저트,베이커리,블루메베이글,제주시,이도2동,제주 제주시 가령로4길 3,33.4966891,126.5331738,3658,23.45,2.8000000000000003,4.89,1.742765120722755
30,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,해장국,순풍해장국이도점,제주시,이도2동,제주 제주시 이도2동 1981-9,33.4892694,126.5400669,3655,13.920000000000002,0.3,1.63,2.7644633045918354
53,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,카페,커피,풀바셋제주아라DT점,제주시,아라동,제주 제주시 중앙로 393,33.48748042,126.5412697,3551,83.91,1.6900000000000002,9.790000000000001,2.9925054834436757
25,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,가정식,산방식당제주점,제주시,이도2동,제주 제주시 구남로8길 10-5,33.49018711,126.5360528,3115,61.470000000000006,1.85,8.08,2.5129128421013838
37,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,카페,커피,에이바우트커피구남점,제주시,아라동,제주 제주시 도남로 199,33.48510433,126.5354697,2805,15.9,0.26,1.82,3.027710672719427
